time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-26T09:29:16.089Z,30.6446,137.7115,466.18,4,mb,82,132,5.896,0.69,us,us6000ng37,2024-07-26T14:52:49.040Z,"Izu Islands, Japan region",earthquake,11.83,9.099,0.06,75,reviewed,us,us
2024-07-26T09:25:50.968Z,1.7591,127.261,119.687,4.6,mb,20,162,0.986,0.29,us,us6000ng36,2024-07-26T14:58:24.040Z,"83 km W of Tobelo, Indonesia",earthquake,12.62,7.517,0.116,22,reviewed,us,us
2024-07-26T07:52:51.880Z,17.9391666666667,-66.9648333333333,8.97,2.6,md,17,219,0.06277,0.12,pr,pr71456258,2024-07-26T08:02:10.200Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.42,0.58,0.159948305984519,5,reviewed,pr,pr
2024-07-26T06:28:37.690Z,19.3775,-155.258,0.24,2.61,ml,37,58,0.007837,0.11,hv,hv74365761,2024-07-26T20:50:47.290Z,"7 km SSW of Volcano, Hawaii",earthquake,0.11,0.1,0.189453570434091,17,reviewed,hv,hv
2024-07-26T04:07:13.790Z,18.8136666666667,-67.3815,10.55,3.13,md,11,204,0.4293,0.37,pr,pr71456248,2024-07-26T04:26:24.080Z,"46 km NW of San Antonio, Puerto Rico",earthquake,1.74,1.55,0.0459592401610851,5,reviewed,pr,pr
2024-07-26T03:54:21.630Z,19.3848333333333,-155.242833333333,1.9,2.92,ml,31,66,0.00803,0.08,hv,hv74365371,2024-07-26T21:03:08.520Z,"6 km S of Volcano, Hawaii",earthquake,0.16,0.14,0.341997134602591,19,reviewed,hv,hv
2024-07-26T03:18:48.860Z,19.3896666666667,-155.248333333333,1.27,3,ml,37,43,0.004999,0.1,hv,hv74365266,2024-07-26T22:15:54.690Z,"6 km SSW of Volcano, Hawaii",earthquake,0.15,0.14,0.236075100247602,19,reviewed,hv,hv
2024-07-26T03:12:13.620Z,19.3838333333333,-155.238666666667,1.71,2.76,ml,40,58,0.01037,0.1,hv,hv74365246,2024-07-26T23:02:04.710Z,"6 km S of Volcano, Hawaii",earthquake,0.17,0.15,0.294535242693054,19,reviewed,hv,hv
2024-07-26T02:40:30.260Z,19.3771666666667,-155.256,0.37,2.75,ml,41,58,0.008981,0.13,hv,hv74365171,2024-07-26T23:22:36.420Z,"7 km SSW of Volcano, Hawaii",earthquake,0.14,0.13,0.286317510213772,20,reviewed,hv,hv
2024-07-26T02:23:59.438Z,24.078,121.6659,41.348,4.4,mb,32,71,0.115,0.5,us,us6000ng1a,2024-07-28T14:23:15.041Z,"12 km NNE of Hualien City, Taiwan",earthquake,5.2,4.606,0.098,30,reviewed,us,us
2024-07-26T02:09:43.174Z,2.4224,128.5578,229.828,4.6,mb,50,105,2.03,0.78,us,us6000ng18,2024-07-26T02:28:10.040Z,"98 km NE of Tobelo, Indonesia",earthquake,10.57,7.137,0.072,61,reviewed,us,us
2024-07-26T02:02:24.440Z,19.3861666666667,-155.244,1.63,3.05,ml,34,52,0.006931,0.1,hv,hv74365061,2024-07-26T23:52:34.190Z,"6 km S of Volcano, Hawaii",earthquake,0.17,0.16,0.266155421663182,18,reviewed,hv,hv
2024-07-26T01:56:55.119Z,14.0989,-90.6413,143.568,4.2,mb,29,186,0.452,0.98,us,us6000ng14,2024-07-26T03:02:55.040Z,"14 km S of Guanagazapa, Guatemala",earthquake,6.43,5.608,0.085,38,reviewed,us,us
